emoji,tts,keywords,all_words,category,group,subgroup,unicode_name
🇸🇰,flag: Slovakia,flag,flag: Slovakia | flag,country flag,Flags,country-flag,flag: Slovakia
🇸🇱,flag: Sierra Leone,flag,flag: Sierra Leone | flag,country flag,Flags,country-flag,flag: Sierra Leone
🇸🇲,flag: San Marino,flag,flag: San Marino | flag,country flag,Flags,country-flag,flag: San Marino
🇸🇳,flag: Senegal,flag,flag: Senegal | flag,country flag,Flags,country-flag,flag: Senegal
🇸🇴,flag: Somalia,flag,flag: Somalia | flag,country flag,Flags,country-flag,flag: Somalia
🇸🇷,flag: Suriname,flag,flag: Suriname | flag,country flag,Flags,country-flag,flag: Suriname
🇸🇸,flag: South Sudan,flag,flag: South Sudan | flag,country flag,Flags,country-flag,flag: South Sudan
🇸🇹,flag: São Tomé & Príncipe,flag,flag: São Tomé & Príncipe | flag,country flag,Flags,country-flag,flag: São Tomé & Príncipe
🇸🇻,flag: El Salvador,flag,flag: El Salvador | flag,country flag,Flags,country-flag,flag: El Salvador
🇸🇽,flag: Sint Maarten,flag,flag: Sint Maarten | flag,country flag,Flags,country-flag,flag: Sint Maarten
🇸🇾,flag: Syria,flag,flag: Syria | flag,country flag,Flags,country-flag,flag: Syria
🇸🇿,flag: Eswatini,flag,flag: Eswatini | flag,country flag,Flags,country-flag,flag: Eswatini
🇹🇦,flag: Tristan da Cunha,flag,flag: Tristan da Cunha | flag,country flag,Flags,country-flag,flag: Tristan da Cunha
🇹🇨,flag: Turks & Caicos Islands,flag,flag: Turks & Caicos Islands | flag,country flag,Flags,country-flag,flag: Turks & Caicos Islands
🇹🇩,flag: Chad,flag,flag: Chad | flag,country flag,Flags,country-flag,flag: Chad
🇹🇫,flag: French Southern Territories,flag,flag: French Southern Territories | flag,country flag,Flags,country-flag,flag: French Southern Territories
🇹🇬,flag: Togo,flag,flag: Togo | flag,country flag,Flags,country-flag,flag: Togo
🇹🇭,flag: Thailand,flag,flag: Thailand | flag,country flag,Flags,country-flag,flag: Thailand
🇹🇯,flag: Tajikistan,flag,flag: Tajikistan | flag,country flag,Flags,country-flag,flag: Tajikistan
🇹🇰,flag: Tokelau,flag,flag: Tokelau | flag,country flag,Flags,country-flag,flag: Tokelau
🇹🇱,flag: Timor-Leste,flag,flag: Timor-Leste | flag,country flag,Flags,country-flag,flag: Timor-Leste
🇹🇲,flag: Turkmenistan,flag,flag: Turkmenistan | flag,country flag,Flags,country-flag,flag: Turkmenistan
🇹🇳,flag: Tunisia,flag,flag: Tunisia | flag,country flag,Flags,country-flag,flag: Tunisia
🇹🇴,flag: Tonga,flag,flag: Tonga | flag,country flag,Flags,country-flag,flag: Tonga
🇹🇷,flag: Türkiye,flag,flag: Türkiye | flag,country flag,Flags,country-flag,flag: Türkiye
🇹🇹,flag: Trinidad & Tobago,flag,flag: Trinidad & Tobago | flag,country flag,Flags,country-flag,flag: Trinidad & Tobago
🇹🇻,flag: Tuvalu,flag,flag: Tuvalu | flag,country flag,Flags,country-flag,flag: Tuvalu
🇹🇼,flag: Taiwan,flag,flag: Taiwan | flag,country flag,Flags,country-flag,flag: Taiwan
🇹🇿,flag: Tanzania,flag,flag: Tanzania | flag,country flag,Flags,country-flag,flag: Tanzania
🇺🇦,flag: Ukraine,flag,flag: Ukraine | flag,country flag,Flags,country-flag,flag: Ukraine
🇺🇬,flag: Uganda,flag,flag: Uganda | flag,country flag,Flags,country-flag,flag: Uganda
🇺🇲,flag: U.S. Outlying Islands,flag,flag: U.S. Outlying Islands | flag,country flag,Flags,country-flag,flag: U.S. Outlying Islands
🇺🇳,flag: United Nations,flag,flag: United Nations | flag,country flag,Flags,country-flag,flag: United Nations
🇺🇸,flag: United States,flag,flag: United States | flag,country flag,Flags,country-flag,flag: United States
🇺🇾,flag: Uruguay,flag,flag: Uruguay | flag,country flag,Flags,country-flag,flag: Uruguay
🇺🇿,flag: Uzbekistan,flag,flag: Uzbekistan | flag,country flag,Flags,country-flag,flag: Uzbekistan
🇻🇦,flag: Vatican City,flag,flag: Vatican City | flag,country flag,Flags,country-flag,flag: Vatican City
🇻🇨,flag: St. Vincent & Grenadines,flag,flag: St. Vincent & Grenadines | flag,country flag,Flags,country-flag,flag: St. Vincent & Grenadines
🇻🇪,flag: Venezuela,flag,flag: Venezuela | flag,country flag,Flags,country-flag,flag: Venezuela
